2024-03-20 10:37:31,789 INFO    StreamThr :2135166 [internal.py:wandb_internal():86] W&B internal server running at pid: 2135166, started at: 2024-03-20 10:37:31.789422
2024-03-20 10:37:31,791 DEBUG   HandlerThread:2135166 [handler.py:handle_request():146] handle_request: status
2024-03-20 10:37:31,793 INFO    WriterThread:2135166 [datastore.py:open_for_write():85] open: /home/liqing/MORL/Metro-Line/wandb/run-20240320_103731-wa2rdz6r/run-wa2rdz6r.wandb
2024-03-20 10:37:31,793 DEBUG   SenderThread:2135166 [sender.py:send():382] send: header
2024-03-20 10:37:31,797 DEBUG   SenderThread:2135166 [sender.py:send():382] send: run
2024-03-20 10:37:32,302 INFO    SenderThread:2135166 [dir_watcher.py:__init__():211] watching files in: /home/liqing/MORL/Metro-Line/wandb/run-20240320_103731-wa2rdz6r/files
2024-03-20 10:37:32,302 INFO    SenderThread:2135166 [sender.py:_start_run_threads():1136] run started: wa2rdz6r with start time 1710902251.791072
2024-03-20 10:37:32,312 DEBUG   HandlerThread:2135166 [handler.py:handle_request():146] handle_request: check_version
2024-03-20 10:37:32,312 DEBUG   SenderThread:2135166 [sender.py:send_request():409] send_request: check_version
2024-03-20 10:37:32,398 DEBUG   HandlerThread:2135166 [handler.py:handle_request():146] handle_request: run_start
2024-03-20 10:37:32,404 DEBUG   HandlerThread:2135166 [system_info.py:__init__():32] System info init
2024-03-20 10:37:32,404 DEBUG   HandlerThread:2135166 [system_info.py:__init__():47] System info init done
2024-03-20 10:37:32,404 INFO    HandlerThread:2135166 [system_monitor.py:start():194] Starting system monitor
2024-03-20 10:37:32,404 INFO    SystemMonitor:2135166 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-03-20 10:37:32,405 INFO    HandlerThread:2135166 [system_monitor.py:probe():214] Collecting system info
2024-03-20 10:37:32,405 INFO    SystemMonitor:2135166 [interfaces.py:start():190] Started cpu monitoring
2024-03-20 10:37:32,405 INFO    SystemMonitor:2135166 [interfaces.py:start():190] Started disk monitoring
2024-03-20 10:37:32,406 INFO    SystemMonitor:2135166 [interfaces.py:start():190] Started gpu monitoring
2024-03-20 10:37:32,407 INFO    SystemMonitor:2135166 [interfaces.py:start():190] Started memory monitoring
2024-03-20 10:37:32,407 INFO    SystemMonitor:2135166 [interfaces.py:start():190] Started network monitoring
2024-03-20 10:37:32,422 DEBUG   HandlerThread:2135166 [system_info.py:probe():196] Probing system
2024-03-20 10:37:32,423 DEBUG   HandlerThread:2135166 [system_info.py:_probe_git():181] Probing git
2024-03-20 10:37:32,427 DEBUG   HandlerThread:2135166 [system_info.py:_probe_git():189] Probing git done
2024-03-20 10:37:32,427 DEBUG   HandlerThread:2135166 [system_info.py:probe():244] Probing system done
